Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH,LOW ,PREV. CLOSE ,ltp,close,vwap,52W H ,52W L ,VOLUME ,No of trades 
24-Jan-25,Friday,January,Q1,2025,EQ,112000.0,112667.8,111011.5,111739.5,111500.0,111484.6,111765.1,151445.0,110525.6,4615.0,3386.0
23-Jan-25,Thursday,January,Q1,2025,EQ,111400.0,112200.0,110550.0,111599.9,111899.0,111739.5,111520.7,151445.0,110525.6,7377.0,4450.0
22-Jan-25,Wednesday,January,Q1,2025,EQ,113000.0,113003.4,110525.6,112097.3,111501.0,111599.9,111448.4,151445.0,110525.6,5531.0,4222.0
21-Jan-25,Tuesday,January,Q1,2025,EQ,113790.0,115294.8,111912.1,113786.6,112099.0,112097.3,113127.3,151445.0,111912.1,6999.0,5180.0
20-Jan-25,Monday,January,Q1,2025,EQ,113948.7,114044.3,112100.0,113948.7,113502.1,113786.6,113199.0,151445.0,112100.0,5911.0,4329.0
17-Jan-25,Friday,January,Q1,2025,EQ,114400.0,114539.2,113301.1,114463.6,113960.0,113948.7,113839.1,151445.0,112652.2,3965.0,2984.0
16-Jan-25,Thursday,January,Q1,2025,EQ,114800.0,115300.1,114138.1,114227.0,114500.0,114463.6,114654.4,151445.0,112652.2,4528.0,3476.0
15-Jan-25,Wednesday,January,Q1,2025,EQ,115200.0,115200.0,113754.5,114213.4,114000.0,114227.0,114362.2,151445.0,112652.2,5385.0,4275.0
14-Jan-25,Tuesday,January,Q1,2025,EQ,113003.8,114700.0,112652.2,113003.8,114500.0,114213.4,113915.2,151445.0,112652.2,8640.0,6538.0
13-Jan-25,Monday,January,Q1,2025,EQ,117000.0,117000.0,112700.0,117104.6,112800.0,113003.8,114290.5,151445.0,112700.0,9530.0,7233.0
10-Jan-25,Friday,January,Q1,2025,EQ,118330.0,119099.7,117000.1,118885.7,117300.0,117104.6,117713.3,151445.0,116347.9,5619.0,4268.0
09-Jan-25,Thursday,January,Q1,2025,EQ,120390.0,120749.9,118740.2,119869.3,118850.1,118885.7,119431.5,151445.0,116347.9,5782.0,4231.0
08-Jan-25,Wednesday,January,Q1,2025,EQ,121998.9,121999.9,119001.0,121222.2,119880.0,119869.3,119889.8,151445.0,116347.9,7672.0,5561.0
07-Jan-25,Tuesday,January,Q1,2025,EQ,123450.0,124230.0,120700.1,122870.0,121270.0,121222.2,121885.5,151445.0,116347.9,8586.0,6367.0
06-Jan-25,Monday,January,Q1,2025,EQ,126800.0,126919.3,122310.0,126362.5,122994.7,122870.0,123810.0,151445.0,116347.9,7675.0,5563.0
03-Jan-25,Friday,January,Q1,2025,EQ,129300.0,129800.0,125125.8,129211.8,126299.0,126362.5,127369.1,151445.0,116347.9,8718.0,5901.0
02-Jan-25,Thursday,January,Q1,2025,EQ,129700.0,129839.1,127800.0,129374.5,129189.0,129211.8,128680.6,151445.0,116347.9,7133.0,4371.0
